Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,MatchID
23,Sat,2/5/2022,21:00 (04:00),Monaco,2.3,2–0,1.6,Lyon,"6,550",Stade Louis II.,Ruddy Buquet,2122158
23,Sat,2/5/2022,17:00 (00:00),Saint-Étienne,2.3,3–1,0.5,Montpellier,"20,000",Stade Geoffroy-Guichard,Thomas Léonard,2122159
23,Fri,2/4/2022,21:00 (04:00),Marseille,2.6,5–2,0.5,Angers,"60,000",Orange Vélodrome,Jeremy Stinat,2122160
14,Tue,2/1/2022,21:00 (04:00),Lyon,1.1,2–1,0.7,Marseille,,Groupama Stadium,Benoît Bastien,2122161
20,Wed,1/26/2022,19:00 (02:00),Angers,0.4,0–1,0.6,Saint-Étienne,,Stade Raymond Kopa,Clément Turpin,2122162
22,Sun,1/23/2022,20:45 (03:45),Paris S-G,2.6,4–0,0.6,Reims,"5,000",Parc des Princes,Eric Wattellier,2122163
22,Sun,1/23/2022,17:05 (00:05),Montpellier,2,3–2,1.3,Monaco,"5,000",Stade de la Mosson,Jérémie Pignard,2122164
22,Sun,1/23/2022,15:00 (22:00),Bordeaux,2.1,4–3,1.9,Strasbourg,"3,308",Stade Matmut-Atlantique,Mikael Lesage,2122165
22,Sun,1/23/2022,15:00 (22:00),Angers,2.5,2–1,1.4,Troyes,"5,000",Stade Raymond Kopa,Romain Lissorgue,2122166
22,Sun,1/23/2022,15:00 (22:00),Nantes,1.1,4–2,1.9,Lorient,"4,275",Stade de la Beaujoire - Louis Fonteneau,Pierre Gaillouste,2122167
22,Sun,1/23/2022,15:00 (22:00),Clermont Foot,1.3,2–1,1.7,Rennes,"4,535",Stade Gabriel Montpied,Thomas Léonard,2122168
22,Sun,1/23/2022,13:00 (20:00),Metz,0.4,0–2,2.1,Nice,"5,000",Stade Saint-Symphorien,Amaury Delerue,2122169
22,Sat,1/22/2022,21:00 (04:00),Lens,0.8,0–2,1.5,Marseille,"5,000",Stade Bollaert-Delelis,Stéphanie Frappart,2122170
22,Sat,1/22/2022,17:00 (00:00),Brest,1.3,2–0,1.7,Lille,"4,358",Stade Francis-Le Blé,Jérôme Brisard,2122171
22,Fri,1/21/2022,21:00 (04:00),Lyon,2.4,1–0,0.2,Saint-Étienne,"5,000",Groupama Stadium,Antony Gautier,2122172
19,Wed,1/19/2022,19:00 (02:00),Clermont Foot,0.9,0–2,1.7,Strasbourg,"4,219",Stade Gabriel Montpied,Bastien Dechepy,2122173
20,Wed,1/19/2022,19:00 (02:00),Lille,1.6,3–1,1.4,Lorient,"4,834",Stade Pierre-Mauroy,Florent Batta,2122174
20,Wed,1/19/2022,19:00 (02:00),Montpellier,0.8,0–1,0.8,Troyes,"4,943",Stade de la Mosson,Jeremy Stinat,2122175
21,Sun,1/16/2022,20:45 (03:45),Marseille,1.9,1–1,0.9,Lille,"5,034",Orange Vélodrome,Amaury Delerue,2122176
21,Sun,1/16/2022,17:05 (00:05),Troyes,0.4,0–1,2.7,Lyon,"4,224",Stade de l'Aube,Jérôme Brisard,2122177
21,Sun,1/16/2022,15:00 (22:00),Strasbourg,2,3–1,0.8,Montpellier,"5,217",Stade de la Meinau,Pierre Gaillouste,2122178
21,Sun,1/16/2022,15:00 (22:00),Lorient,0.7,0–0,0.6,Angers,"4,387",Stade Yves Allainmat - Le Moustoir,Johan Hamel,2122179
21,Sun,1/16/2022,15:00 (22:00),Monaco,3.7,4–0,0.5,Clermont Foot,"2,633",Stade Louis II.,Jeremy Stinat,2122180
21,Sun,1/16/2022,15:00 (22:00),Reims,0.7,0–1,1.1,Metz,"3,923",Stade Auguste-Delaune II,Jérémie Pignard,2122181
21,Sun,1/16/2022,13:00 (20:00),Rennes,3.5,6–0,0.7,Bordeaux,"4,951",Roazhon Park,Bastien Dechepy,2122182
21,Sat,1/15/2022,21:00 (04:00),Paris S-G,2.7,2–0,0.8,Brest,"4,925",Parc des Princes,Mikael Lesage,2122183
